Barkod;"Eser Adı / Kitap Adı";Yazar;"Yer Numarası (Sırt No)";ISBN/ISSN;"Raf Konumu";"Ana Kütüphane";"Raf Kontrol Notu";"Materyal Türü"
111000000054;"Uyuyan prenses";"Grimm, Jacob";"398.27 GRİ 2005";9752630324;"Yetişkin Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000055;"Çocuk bakımı";"Thompson, June";"613.0432 THO 2001";9754682526;"Yetişkin Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000056;"Köpek Bakımı";"Taylor, David";"636 TAY 2014";9751005728;"Geçici Derme4 (Kurumlar)";"DEMO EĞİTİM KÜTÜPHANESİ";"İl halk kütüphanesi satınalma yo";" Kitap"
111000000057;"Muhabbet kuşumuza nasıl bakacağımızı öğrenelim";"Algarra, Alejandro";"372.412 ALG 2011";9786054525102;"Geçici Derme4 (Kurumlar)";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000058;"Sevgi okulları";"Ekiz, Alim";"398.2 EKİ 2003";9758498746;"Özel Koleksiyon";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000059;"Neşeli günler";"Trapp, Maria";"833 TRA 2014";;"Geçici Derme4 (Kurumlar)";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000064;"Kırık camlar üzerinde dans";"Hancock, Ka";"828.3354 HAN 2013";9786054726271;"Geçici Derme4 (Kurumlar)";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000066;"Kırık camlar üzerinde dans";"Hancock, Ka";"828.3354 HAN 2013";9786054726271;"Geçici Derme4 (Kurumlar)";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000069;"Demir adam";"Hughes Ted";"823.914 HUG 2011";9789750713712;"Geçici Derme4 (Kurumlar)";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000070;Huzur;"Tanpınar, Ahmet Hamdi";"813.42 TAN 2013";9789759951108;"Geçici Derme4 (Kurumlar)";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000071;"Uyuyan prenses";"Grimm, Jacob";"398.27 GRİ 2005";9752630324;"Geçici Derme4 (Kurumlar)";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000072;"Uyuyan prenses";"Grimm, Jacob";"398.27 GRİ 2005";9752630324;"Geçici Derme4 (Kurumlar)";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000073;Veda;"Kulin, Ayşe";"813.42 KUL 2011";9789752894402;"Geçici Derme4 (Kurumlar)";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000074;Gel;"Polat, Fatma";"813.42 POL 2011";9786054470051;"Geçici Derme4 (Kurumlar)";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000075;Sevgi;"Baltacı, Nurten";"813.42 BAL 2011";9786054017799;"Yetişkin Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000076;Efendi;"Yalçın, Soner";"320.9561 YAL 2006";9752932037;"Geçici Derme4 (Kurumlar)";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
